ObjectId,Redshift,Band,ExposureMinutes,EmissionLine,EstimatedZ,SNR,AxisRatio,Inclination,KinematicScore
COS4_04930,2.0710,K,520.0,H-alpha,2.0710,2.1,0.776,39.7,21.4
COS4_06079,1.9803,K,520.0,H-alpha,1.9803,2.4,0.860,31.1,21.4
COS4_10347,2.6981,K,995.0,H-alpha,2.6981,2.1,0.833,34.0,21.1
COS4_06750,2.4739,K,525.0,H-alpha,2.4739,2.0,0.719,44.7,20.9
COS4_26272,0.7839,YJ,200.0,H-alpha,0.7839,2.7,0.901,26.1,20.9
COS4_07901,0.8790,YJ,285.0,H-alpha,0.8790,3.9,0.942,19.9,20.5
COS4_04669,0.9161,YJ,230.0,H-alpha,0.9161,2.2,0.760,41.1,20.4
COS4_08372,0.7524,YJ,285.0,H-alpha,0.7524,2.1,0.788,38.5,20.4
COS4_04717,2.3084,K,525.0,H-alpha,2.3084,2.1,0.749,42.1,20.3
COS4_04453,2.7118,K,615.0,H-alpha,2.7118,2.3,0.923,22.9,20.2
COS4_03493,1.0433,YJ,285.0,H-alpha,1.0433,2.0,0.771,40.1,20.0
COS4_05238,0.6191,YJ,230.0,H-alpha,0.6191,2.7,0.836,33.7,20.0
COS4_06327,0.6509,YJ,230.0,H-alpha,0.6509,2.2,0.862,30.8,19.8
COS4_12148,1.9897,K,520.0,H-alpha,1.9897,2.1,0.832,34.1,19.6
COS4_19648,0.8061,YJ,315.0,H-alpha,0.8061,2.2,0.770,40.2,19.6
COS4_13901,0.6445,YJ,625.0,H-alpha,0.6445,2.3,0.917,23.8,19.5
COS4_20618,0.5756,YJ,255.0,H-alpha,0.5756,2.3,0.872,29.6,19.3
COS4_00970,0.9540,YJ,285.0,H-alpha,0.9540,2.1,0.822,35.2,19.1
COS4_08663,0.9092,YJ,285.0,H-alpha,0.9092,2.4,0.797,37.6,19.1
COS4_12470,0.7446,YJ,245.0,H-alpha,0.7446,2.3,0.940,20.2,19.1
COS4_24973,0.5769,YJ,200.0,H-alpha,0.5769,2.1,0.907,25.3,18.6
COS4_05540,2.7935,K,525.0,H-alpha,2.7935,2.1,0.889,27.5,18.5
COS4_20746,2.6498,K,475.0,H-alpha,2.6498,2.1,0.884,28.2,18.3
COS4_02418,0.5999,YJ,285.0,H-alpha,0.5999,2.0,0.842,33.1,18.2
COS4_02672,2.3443,K,520.0,H-alpha,2.3443,2.1,0.815,35.9,17.9
COS4_01966,2.5758,K,520.0,H-alpha,2.5758,2.1,0.857,31.4,17.1
COS4_19066,1.0398,YJ,580.0,H-alpha,1.0398,2.2,0.845,32.7,17.1
COS4_19016,0.8616,YJ,315.0,H-alpha,0.8616,2.5,0.909,24.9,16.5
COS4_17235,0.9781,YJ,315.0,H-alpha,0.9781,2.3,0.907,25.3,16.1
COS4_22119,0.9687,YJ,315.0,H-alpha,0.9687,2.3,0.940,20.3,16.1
COS4_20342,0.7364,YJ,315.0,H-alpha,0.7364,2.5,0.927,22.3,15.9
COS4_19563,2.7679,K,285.0,H-alpha,2.7679,1.9,0.921,23.1,15.8
COS4_11456,0.7030,YJ,245.0,H-alpha,0.7030,2.2,0.903,25.8,15.3
COS4_18209,2.7910,K,475.0,H-alpha,2.7910,1.2,0.915,24.1,15.1
COS4_13174,2.7892,K,995.0,H-alpha,2.7892,2.2,0.989,8.7,15.0
COS4_20531,0.8181,YJ,500.0,H-alpha,0.8181,2.0,0.911,24.7,13.4
COS4_01670,0.6001,YJ,230.0,H-alpha,0.6001,2.0,0.938,20.4,11.2
COS4_05473,2.7679,K,615.0,H-alpha,2.7679,2.5,0.949,18.6,10.5
COS4_24367,0.7649,YJ,200.0,H-alpha,0.7649,2.3,0.979,11.8,5.5
COS4_16227,0.8686,YJ,335.0,H-alpha,0.8686,2.1,0.972,13.8,3.5
COS4_10056,2.0675,K,1515.0,H-alpha,2.0675,2.1,0.945,19.3,2.5
COS4_25085,0.7070,YJ,200.0,H-alpha,0.7070,2.4,0.948,18.8,2.0
COS4_27827,0.6156,YJ,200.0,H-alpha,0.6156,2.2,0.994,6.5,1.5
COS4_05152,NaN,K,520.0,(none),NaN,0.0,1.000,45.0,0.0
COS4_05296,NaN,YJ,230.0,(none),NaN,0.0,1.000,45.0,0.0
COS4_05433,NaN,K,520.0,(none),NaN,0.0,1.000,45.0,0.0
COS4_06205,NaN,YJ,290.0,(none),NaN,0.0,1.000,45.0,0.0
COS4_06279,NaN,K,520.0,(none),NaN,0.0,1.000,45.0,0.0
COS4_08649,NaN,YJ,230.0,(none),NaN,0.0,1.000,45.0,0.0
COS4_09156,NaN,YJ,285.0,(none),NaN,0.0,1.000,45.0,0.0
COS4_10565,NaN,K,520.0,(none),NaN,0.0,1.000,45.0,0.0
COS4_14180,NaN,K,470.0,(none),NaN,0.0,1.000,45.0,0.0
